Track,Artist,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre,Loudness_dB
I Can't Wait,Stevie Nicks,1985,275000,4,0.6174089068825911,0.93192527437368,9,0.8783296739715813,0,0.092,0.0037138591504609947,0.0035663627152988857,0.8749491663277755,0.4539939332659252,125.399,44,Rock,-4.955
No Spoken Word,Stevie Nicks,1985,254000,4,0.6396761133603239,0.6245879101489705,9,0.7038402585028378,0,0.032842105263157895,0.05110346496331824,1.0942249240121581e-06,0.11244408296055305,0.4651162790697675,130.873,25,Rock,-13.379
The Nightmare,Stevie Nicks,1985,323000,4,0.6255060728744939,0.8478329662470494,9,0.7694187828824723,0,0.03547368421052632,0.016565277675981604,0.0003181357649442756,0.28426189507930055,0.6764408493427705,122.664,23,Rock,-10.213
Whole Lotta Trouble,Stevie Nicks,1989,271000,4,0.44534412955465585,0.93192527437368,9,0.83006752558101,1,0.066,0.021886568159204978,4.853090172239109e-05,0.3869459129727532,0.5813953488372092,191.329,28,Rock,-7.285
Rose Garden,Stevie Nicks,1994,269000,4,0.631578947368421,0.55751428342892,7,0.8010273830730354,1,0.025157894736842105,0.20682651287802498,0.0,0.1297275315168768,0.5005055611729019,81.999,19,Rock,-8.687
For What It's Worth,Stevie Nicks,2011,272000,4,0.5698380566801619,0.5264802173345682,2,0.7999295745474129,1,0.026105263157894736,0.30823223718096104,0.0,0.09414396095973972,0.2790697674418605,95.926,34,Rock,-8.74
Ghosts Are Gone,Stevie Nicks,2011,366000,4,0.4797570850202429,0.9409351645301046,2,0.8983387878536808,1,0.0663157894736842,0.018974918649516715,0.000452887537993921,0.741764945099634,0.5783619817997977,130.964,16,Rock,-3.989
"Love Struck Baby - Live at Ripley's Music Hall,Philadelphia,PA,Oct. 20,1983",Stevie Ray Vaughn,1983,188000,4,0.41194331983805665,0.9569527470304152,1,0.754215170471022,1,0.046947368421052627,0.4618468492438246,0.026139817629179333,0.9074827165514437,0.8887765419615774,164.466,25,Rock,-10.947
Texas Flood,Stevie Ray Vaughn,1983,320000,3,0.2591093117408907,0.42336702998881875,6,0.7325282737478769,1,0.0368421052631579,0.0007901614359050561,0.4072948328267478,0.24156161041073607,0.44590495449949447,173.27,56,Rock,-11.994
Give Me Back My Wig,Stevie Ray Vaughn,1984,247000,4,0.521255060728745,0.7397142843699529,8,0.7671610257260036,1,0.0628421052631579,0.00035843409481334823,0.32826747720364746,0.06649044326962178,0.7168857431749242,109.394,15,Rock,-10.322
Look at Little Sister - 1984 Version,Stevie Ray Vaughn,1984,166000,4,0.49190283400809715,0.7086802182756011,10,0.7634947595177928,0,0.039999999999999994,0.00012951820232751237,0.2066869300911854,0.3320455469703132,0.8281092012133467,127.143,17,Rock,-10.499
What Has Come Between Us,Styx,1972,295000,4,0.4240890688259109,0.62558900905524,2,0.8583205600894818,0,0.05252631578947368,0.27007958843332175,2.441742654508612e-05,0.3025620170801139,0.5025278058645096,141.846,16,Rock,-5.921
You Need Love,Styx,1973,225000,4,0.25809716599190285,0.926919779842333,9,0.8831558888106384,1,0.07136842105263158,0.00507932236879756,0.0008662613981762919,0.05683204554697032,0.6450960566228514,177.088,19,Rock,-4.722
"Christopher,Mr. Christopher",Styx,1974,240000,4,0.3512145748987854,0.6576241740558612,2,0.8474667550437052,1,0.029894736842105262,0.002729922419600823,0.014285714285714287,0.05652704351362343,0.2770475227502528,87.914,12,Rock,-6.445
Prelude 12,Styx,1975,80000,5,0.49190283400809715,0.005688544315094681,7,0.4147437756327935,1,0.07189473684210526,0.767068039224939,0.160081053698075,0.06333875559170395,0.11830131445904955,133.478,24,Rock,-27.336
Come Sail Away,Styx,1977,367000,4,0.32793522267206476,0.3352703262371105,0,0.6579394341107752,1,0.03736842105263157,0.09939668614125116,1.0942249240121581e-06,0.08855225701504676,0.14256825075834176,119.513,63,Rock,-15.595
Sing For The Day,Styx,1978,301000,4,0.25,0.46040768952078703,2,0.7010646671361698,1,0.0371578947368421,0.08704727615188369,0.0,0.07462383082553883,0.4054600606673408,67.657,32,Rock,-13.513
Half Penny Two Penny,Styx,1981,358000,4,0.409919028340081,0.6035648331173128,0,0.7469240647914164,1,0.03968421052631579,0.00636446422134962,0.0002512664640324215,0.2425782838552257,0.5116279069767442,128.667,28,Rock,-11.299
Don't Let It End,Styx,1983,142000,4,0.30870445344129555,0.7537296690577246,6,0.7274742118563321,1,0.05189473684210526,0.11847301051507081,0.0,0.24156161041073607,0.19919110212335694,162.073,20,Rock,-12.238
Love Is The Ritual,Styx,1990,229000,4,0.590080971659919,0.9139054940608307,8,0.8242263556899623,1,0.0668421052631579,0.022288174988127497,1.043566362715299e-06,0.35847905652704354,0.6592517694641052,103.729,20,Rock,-7.567
Can't Find My Way Home,Styx,2005,204000,4,0.4564777327935223,0.6085703276486599,7,0.8419362856787771,1,0.03147368421052631,0.11345292515353933,6.01823708206687e-06,0.09414396095973972,0.2669362992922144,179.28,28,Rock,-6.712
Another Farewell,Styx,2021,26000,4,0.5819838056680161,0.08869966562295432,2,0.6471063424334066,1,0.034,0.8624496610940373,0.9270516717325229,0.05683204554697032,0.4438827098078868,62.55,0,Rock,-16.118
To Those,Styx,2021,181000,4,0.5020242914979757,0.873861537810054,0,0.8784125274452131,1,0.04347368421052632,0.0016857446644022737,0.007071935157041541,0.280195201301342,0.3619817997977755,135.872,19,Rock,-4.951
Dreamer,Supertramp,1974,213000,4,0.6720647773279352,0.41435713983239403,5,0.6886366460913874,1,0.07105263157894737,0.8674697464555688,0.037183383991894636,0.07004880032533549,0.840242669362993,147.883,60,Rock,-14.113
Ain't Nobody But Me,Supertramp,1975,314000,3,0.5182186234817814,0.5855450528044635,1,0.79638758854965,1,0.03789473684210526,0.09859347248340611,0.0023708206686930094,0.6441642944286295,0.6390293225480284,101.771,41,Rock,-8.911
Just A Normal Day,Supertramp,1975,242000,4,0.4949392712550607,0.23816373232897753,2,0.6731844732590414,0,0.032105263157894734,0.21485864945647537,0.0003343465045592705,0.12464416429442862,0.20424671385237617,112.375,32,Rock,-14.859
Better Days,Supertramp,1985,377000,4,0.4898785425101214,0.6536197784307834,11,0.7607813082563486,0,0.055999999999999994,0.19377429093804313,0.0006676798378926038,0.040870272468483126,0.46309403437815977,110.708,36,Rock,-10.63
Shoo Be Doo,The Cars,1979,98000,4,0.5516194331983806,0.8208032957777752,4,0.7511495919466424,0,0.055999999999999994,0.22690685432415095,0.037487335359675786,0.1886945912972753,0.41557128412537914,93.858,29,Rock,-11.095
Touch and Go,The Cars,1980,297000,5,0.6710526315789475,0.5094615359279882,0,0.7736857367745142,1,0.028210526315789474,0.051304268377779495,0.0005329280648429585,0.1886945912972753,0.8998988877654197,130.027,41,Rock,-10.007
