Song_ID,Track,Artist,Year,Duration,Time_Signature,Key,Mode,Key_String,Camelot_Key,Tempo,Danceability,Energy,Loudness,Loudness_dB,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Popularity,Genre
7446,Shake Your Love,Debbie Gibson,1988,222000,4,11,0,B min,10,120.55,0.898989898989899,0.6464646464646465,0.31313131313131315,-10.681,0.5151515151515151,0.6767676767676768,0.10101010101010101,0.06060606060606061,0.8080808080808081,42,Pop
7447,Lost In Your Eyes,Debbie Gibson,1989,215000,4,7,1,G Maj,21,144.521,0.3434343434343434,0.42424242424242425,0.494949494949495,-8.591,0.04040404040404041,0.6363636363636364,0.6161616161616161,0.2828282828282828,0.12121212121212122,67,Pop
7448,You Light Up My Life,Debby Boone,1977,216000,3,2,1,D Maj,22,77.986,0.08080808080808081,0.1717171717171717,0.36363636363636365,-10.06,0.08080808080808081,0.898989898989899,0.3939393939393939,0.7575757575757576,0.010101010101010102,55,Pop
7449,Who Do U Love,Deborah Cox,1996,189000,4,10,0,A#/Bb min,3,101.989,0.8888888888888888,0.48484848484848486,0.7878787878787878,-5.63,0.9595959595959596,0.5959595959595959,0.10101010101010101,0.41414141414141414,0.26262626262626265,47,Pop
7450,Nobody’s Supposed To Be Here,Deborah Cox,1998,262000,4,8,1,G#/Ab Maj,16,119.957,0.6767676767676768,0.35353535353535354,0.8181818181818182,-5.3,0.30303030303030304,0.5353535353535354,0.3939393939393939,0.9494949494949495,0.2727272727272727,55,Pop
7451,We Can’t Be Friends,Deborah Cox & R.L.,1999,222000,4,5,1,F Maj,19,115.857,0.5050505050505051,0.10101010101010101,0.48484848484848486,-8.632,0.2727272727272727,0.9191919191919192,0.10101010101010101,0.1717171717171717,0.24242424242424243,56,Pop
7452,Raindrops,Dee Clark,1961,188000,4,7,0,G min,6,111.975,0.9191919191919192,0.36363636363636365,0.7575757575757576,-5.949,0.37373737373737376,0.41414141414141414,0.10101010101010101,0.8585858585858586,0.030303030303030304,73,Pop
7453,Gravy (FOR My Mashed Potatoes),Dee Dee Sharp,1962,128000,4,2,1,D Maj,22,129.964,0.9090909090909091,0.7171717171717171,0.7878787878787878,-5.62,0.2222222222222222,0.7272727272727273,0.31313131313131315,0.6868686868686869,1.0,31,Pop
7454,Mashed Potato Time,Dee Dee Sharp,1962,150000,4,2,1,D Maj,22,125.046,0.7070707070707071,0.2828282828282828,0.6262626262626263,-7.193,0.30303030303030304,0.36363636363636365,0.47474747474747475,0.0707070707070707,0.8282828282828283,41,Pop
7455,Breakfast At Tiffany’s,Deep Blue Something,1996,257000,4,2,1,D Maj,22,110.367,0.5858585858585859,0.7676767676767676,0.797979797979798,-5.548,0.08080808080808081,0.42424242424242425,0.10101010101010101,0.2727272727272727,0.4444444444444444,69,Pop
7456,Hush,Deep Purple,1968,182000,4,10,0,A#/Bb min,3,103.999,0.7777777777777778,0.3838383838383838,0.6565656565656566,-6.83,0.1414141414141414,0.6767676767676768,0.8080808080808081,0.48484848484848486,0.47474747474747475,63,Pop
7457,Smoke On The Water,Deep Purple,1973,342000,4,0,1,C Maj,20,114.243,0.6161616161616161,0.42424242424242425,0.2727272727272727,-11.333,0.06060606060606061,0.41414141414141414,0.9292929292929293,0.050505050505050504,0.8888888888888888,63,Pop
7458,Love Bites,Def Leppard,1988,346000,4,0,0,C min,5,129.79,0.5151515151515151,0.6464646464646465,0.6363636363636364,-7.078,0.26262626262626265,0.36363636363636365,0.6262626262626263,0.20202020202020202,0.29292929292929293,65,Pop
7459,Pour Some Sugar On Me,Def Leppard,1988,267000,4,1,0,C#/Db min,12,84.989,0.030303030303030304,0.9494949494949495,0.8585858585858586,-4.899,0.8080808080808081,0.10101010101010101,0.10101010101010101,0.7777777777777778,0.47474747474747475,74,Pop
7460,Armageddon It,Def Leppard,1989,322000,4,9,1,A Maj,23,119.8,0.6565656565656566,0.898989898989899,0.7474747474747475,-6.014,0.29292929292929293,0.0707070707070707,0.7878787878787878,0.5151515151515151,0.5757575757575758,55,Pop
7461,Have You Ever Needed Someone So Bad,Def Leppard,1992,324000,4,4,1,E Maj,24,136.792,0.31313131313131315,0.6262626262626263,0.5151515151515151,-8.335,0.030303030303030304,0.32323232323232326,0.3838383838383838,0.030303030303030304,0.6868686868686869,52,Pop
7462,Let’s Get Rocked,Def Leppard,1992,302000,4,10,1,A#/Bb Maj,18,90.947,0.494949494949495,0.696969696969697,0.6868686868686869,-6.608,0.43434343434343436,0.47474747474747475,0.10101010101010101,0.8585858585858586,0.25252525252525254,1,Pop
7463,Two Steps Behind,Def Leppard,1993,256000,4,2,1,D Maj,22,146.148,0.24242424242424243,0.2222222222222222,0.32323232323232326,-10.594,0.0,0.4444444444444444,0.10101010101010101,0.6363636363636364,0.30303030303030304,54,Pop
7464,Roll To Me,Del Amitri,1995,134000,3,0,1,C Maj,20,106.859,0.1919191919191919,0.7474747474747475,0.45454545454545453,-9.02,0.7373737373737373,0.36363636363636365,0.8484848484848485,0.98989898989899,0.2222222222222222,63,Pop
7465,Hats Off To Larry,Del Shannon,1961,122000,4,11,1,B Maj,13,79.99,0.21212121212121213,0.6060606060606061,0.898989898989899,-4.469,0.26262626262626265,0.8080808080808081,0.3333333333333333,0.8282828282828283,0.5555555555555556,37,Pop
7466,Runaway,Del Shannon,1961,547000,4,1,0,C#/Db min,12,84.733,0.12121212121212122,0.40404040404040403,0.9393939393939394,-3.825,0.8383838383838383,0.5454545454545454,0.6666666666666666,0.9393939393939394,0.020202020202020204,81,Pop
7467,Keep Searchin’ (WE’LL Follow The Sun),Del Shannon,1965,144000,4,2,1,D Maj,22,149.927,0.26262626262626265,0.7474747474747475,0.6565656565656566,-6.829,0.6464646464646465,0.36363636363636365,0.10101010101010101,0.8686868686868687,0.5151515151515151,0,Pop
7468,Never Ending Song Of Love,Delaney & Bonnie & Friends,1971,200000,4,0,1,C Maj,20,92.273,0.696969696969697,0.35353535353535354,0.12121212121212122,-14.096,0.04040404040404041,0.5858585858585859,0.10101010101010101,0.5858585858585859,0.8282828282828283,38,Pop
7469,Giving It Up For Your Love,Delbert McClinton,1981,226000,4,0,1,C Maj,20,107.602,0.8585858585858586,0.6767676767676768,0.42424242424242425,-9.319,0.2727272727272727,0.6060606060606061,0.3838383838383838,0.7272727272727273,0.8585858585858586,37,Pop
7470,It’s Gonna Take A Miracle,Deniece Williams,1982,198000,3,7,1,G Maj,21,95.946,0.6161616161616161,0.26262626262626265,0.494949494949495,-8.515,0.0,0.9191919191919192,0.8282828282828283,0.6565656565656566,0.494949494949495,19,Pop
7471,Let’s Hear It For The Boy,Deniece Williams,1984,262000,4,0,1,C Maj,20,122.659,0.9292929292929293,0.29292929292929293,0.46464646464646464,-8.829,0.6161616161616161,0.37373737373737376,0.696969696969697,0.030303030303030304,0.6666666666666666,63,Pop
7472,Scorpio,Dennis Coffey,1972,165000,4,1,1,C#/Db Maj,15,84.983,0.8282828282828283,0.35353535353535354,0.6262626262626263,-7.151,0.9595959595959596,0.26262626262626265,0.3838383838383838,0.1717171717171717,0.15151515151515152,58,Pop
7473,Desert Moon,Dennis DeYoung,1984,224000,1,0,1,C Maj,20,112.009,0.45454545454545453,0.10101010101010101,0.15151515151515152,-13.241,0.0707070707070707,0.9292929292929293,0.9191919191919192,0.3838383838383838,0.050505050505050504,49,Pop
7474,Also Sprach Zarathustra (2001),Deodato,1973,539000,4,5,1,F Maj,19,114.751,0.1919191919191919,0.5353535353535354,0.41414141414141414,-9.481,0.16161616161616163,0.3939393939393939,0.98989898989899,0.98989898989899,0.1919191919191919,15,Pop
7475,Heaven Help Me,Deon Estus,1989,202000,4,3,1,D#/Eb Maj,17,143.988,0.3434343434343434,0.47474747474747475,0.5959595959595959,-7.455,0.4444444444444444,0.797979797979798,0.3333333333333333,0.6161616161616161,0.020202020202020204,53,Pop
7476,Enjoy The Silence,Depeche Mode,1990,257000,4,0,0,C min,5,112.776,0.5959595959595959,0.5353535353535354,0.24242424242424243,-11.817,0.06060606060606061,0.5353535353535354,0.5555555555555556,0.15151515151515152,0.8080808080808081,78,Pop
7477,Cinnamon,Derek,1969,300000,5,6,0,F#/Gb min,11,91.781,0.050505050505050504,0.1414141414141414,0.32323232323232326,-10.614,0.29292929292929293,0.898989898989899,0.9090909090909091,0.5353535353535354,0.04040404040404041,82,Pop
7478,Layla,Derek and the Dominos,1972,423000,4,1,1,C#/Db Maj,15,115.669,0.16161616161616163,0.8686868686868687,0.9393939393939394,-3.88,0.696969696969697,0.7575757575757576,0.8888888888888888,0.7878787878787878,0.3838383838383838,72,Pop
7479,You Gotta Be,Des’ree,1995,220000,4,7,1,G Maj,21,75.009,0.4444444444444444,0.5252525252525253,0.7272727272727273,-6.223,0.04040404040404041,0.6868686868686869,0.10101010101010101,0.5353535353535354,0.26262626262626265,69,Pop
7480,"No,No,No",Destiny’s Child,1998,130000,4,4,0,E min,9,117.924,0.32323232323232326,0.3939393939393939,0.4444444444444444,-9.058,0.7878787878787878,0.7373737373737373,0.10101010101010101,0.6060606060606061,0.35353535353535354,68,Pop
7481,"Bills,Bills,Bills",Destiny’s Child,1999,256000,4,11,0,B min,10,127.641,0.9595959595959596,0.41414141414141414,0.8282828282828283,-5.15,0.898989898989899,0.46464646464646464,0.10101010101010101,0.15151515151515152,0.3434343434343434,69,Pop
7482,Come On Eileen,Dexys Midnight Runners,1983,287000,4,2,1,D Maj,22,106.61,0.23232323232323232,0.5151515151515151,0.6363636363636364,-7.049,0.5151515151515151,0.8080808080808081,0.3333333333333333,0.7575757575757576,0.7474747474747475,77,Pop
7483,Shy Guy,Diana King,1995,258000,4,11,0,B min,10,94.074,0.7878787878787878,0.7575757575757576,0.797979797979798,-5.447,0.7373737373737373,0.20202020202020202,0.5959595959595959,0.030303030303030304,0.7070707070707071,59,Pop
7484,Ain’t No Mountain High Enough,Diana Ross,1970,206000,4,11,0,B min,10,89.116,0.010101010101010102,0.050505050505050504,0.050505050505050504,-16.461,0.35353535353535354,0.9191919191919192,0.8181818181818182,0.16161616161616163,0.010101010101010102,30,Pop
7485,Touch Me In The Morning,Diana Ross,1973,207000,4,6,1,F#/Gb Maj,14,137.186,0.1111111111111111,0.46464646464646464,0.6262626262626263,-7.211,0.15151515151515152,0.7070707070707071,0.1111111111111111,0.030303030303030304,0.5252525252525253,51,Pop
7486,Theme From Mahogany (DO You Know Where You’re Going To),Diana Ross,1976,151000,4,11,1,B Maj,13,137.062,0.36363636363636365,0.696969696969697,0.5353535353535354,-8.044,0.06060606060606061,0.6868686868686869,0.7474747474747475,0.6363636363636364,0.7070707070707071,4,Pop
