Song_ID,Track,Artist,Year,Duration,Time_Signature,Key,Mode,Camelot_Key,Tempo,Danceability,Energy,Loudness,Loudness_dB,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Popularity,Genre
11,Kryptonite,3 Doors Down,2000,233933,4,11,0,10,99.005,0.5516194331983806,0.8658527465598987,0.8627325075603796,-5.708,0.030105263157894736,0.00666566934304151,1.1144883485309017e-05,0.15819438796258642,0.5490394337714865,80,Alt. Rock
12,Loser,3 Doors Down,2000,264800,4,6,0,11,147.913,0.49898785425101216,0.88086923015394,0.8479017357802726,-6.424,0.07294736842105262,0.010842380363835709,2.695035460992908e-05,0.21716144774298496,0.3933265925176947,61,Alt. Rock
13,One Light,3 Doors Down,2000,176346,4,11,1,13,170.087,0.3765182186234818,0.9769747251558035,0.9049463523758234,-3.67,0.06578947368421052,0.001173695957526062,0.003302938196555218,0.0480886539243595,0.4378159757330637,38,Alt. Rock
14,Here Without You,3 Doors Down,2003,238733,4,10,0,3,143.994,0.5637651821862348,0.533487909678454,0.8397613819959402,-6.817,0.026526315789473683,0.04939663594039753,0.0,0.1958113054087027,0.23559150657229527,76,Alt. Rock
15,When I'm Gone,3 Doors Down,2005,260333,4,7,1,21,148.095,0.5364372469635628,0.7687461526517658,0.8647417042959527,-5.611,0.029894736842105262,0.003864461711306939,0.0,0.09211061407076046,0.378159757330637,72,Alt. Rock
16,It's Not My Time,3 Doors Down,2008,241960,4,0,1,20,128.025,0.5384615384615385,0.9359296699987577,0.8815816728116327,-4.798,0.0651578947368421,0.0013343386890950697,8.480243161094225e-06,0.09516063440422935,0.31243680485338726,63,Alt. Rock
17,Let Me Go,3 Doors Down,2008,243053,4,1,0,12,91.972,0.48582995951417,0.86385054874736,0.8791789220763081,-4.914,0.04052631578947368,0.01817170499167168,0.0,0.1002440016266775,0.49646107178968657,55,Alt. Rock
18,Man in the Box,Alice In Chains,1990,285200,4,8,1,16,106.392,0.35931174089068824,0.7917714274959623,0.8242677824267782,-7.565,0.04768421052631579,0.0004508036654655276,0.0,0.08590890605937372,0.7664307381193125,77,Alt. Rock
19,Angry Chair (2022 Remaster),Alice In Chains,1992,287800,4,8,1,16,107.422,0.33299595141700405,0.9439384612489129,0.8620282530345085,-5.742,0.09610526315789474,0.04076208911856337,0.0,0.043106954046360314,0.15874620829120326,53,Alt. Rock
20,Down In A Hole (2022 Remaster),Alice In Chains,1992,338226,4,6,1,14,97.528,0.36032388663967607,0.8188010979652364,0.8702928870292888,-5.343,0.035263157894736843,0.012248004265064526,0.00011955420466058765,0.11244408296055305,0.3933265925176947,66,Alt. Rock
21,Rooster (2022 Remaster),Alice In Chains,1992,374333,3,3,1,17,146.08,0.26619433198380565,0.562519777960267,0.8181987654832429,-7.858,0.028736842105263158,0.02901508937257969,0.0011955420466058765,0.10939406262708418,0.21536905965621841,72,Alt. Rock
